track	panel	chr	hap	sample	ancestry	n_sites	n_correct	concordance
NAT	NAT_HGDP	20	14	sim_007	AFR	428	408	0.9532710280373832
NAT	NAT_HGDP	20	15	sim_008	NAT	738	621	0.8414634146341463
NAT	NAT_HGDP	20	15	sim_008	EUR	7770	7755	0.9980694980694981
NAT	NAT_HGDP	20	15	sim_008	AFR	973	795	0.817060637204522
NAT	NAT_HGDP	20	16	sim_008	EUR	7561	7319	0.9679936516333818
NAT	NAT_HGDP	20	16	sim_008	AFR	1920	1804	0.9395833333333333
NAT	NAT_HGDP	20	17	sim_009	NAT	209	133	0.6363636363636364
NAT	NAT_HGDP	20	17	sim_009	EUR	1534	1472	0.9595827900912647
NAT	NAT_HGDP	20	17	sim_009	AFR	7738	7573	0.9786766606358233
NAT	NAT_HGDP	20	18	sim_009	NAT	2921	1959	0.670660732625813
NAT	NAT_HGDP	20	18	sim_009	EUR	5431	5409	0.9959491806297183
NAT	NAT_HGDP	20	18	sim_009	AFR	1129	1129	1
NAT	NAT_HGDP	20	19	sim_010	NAT	934	898	0.961456102783726
NAT	NAT_HGDP	20	19	sim_010	EUR	6724	6634	0.9866151100535395
NAT	NAT_HGDP	20	19	sim_010	AFR	1823	1735	0.9517279210093252
NAT	NAT_HGDP	20	20	sim_010	NAT	2357	2313	0.9813322019516334
NAT	NAT_HGDP	20	20	sim_010	EUR	6481	6407	0.9885820089492362
NAT	NAT_HGDP	20	20	sim_010	AFR	643	642	0.9984447900466563
NAT	NAT_HGDP	20	21	sim_011	NAT	3396	3395	0.9997055359246172
NAT	NAT_HGDP	20	21	sim_011	EUR	5520	5427	0.9831521739130434
NAT	NAT_HGDP	20	21	sim_011	AFR	565	560	0.9911504424778761
NAT	NAT_HGDP	20	22	sim_011	NAT	1070	1057	0.9878504672897196
NAT	NAT_HGDP	20	22	sim_011	EUR	6029	5705	0.9462597445679217
NAT	NAT_HGDP	20	22	sim_011	AFR	2382	2359	0.9903442485306465
NAT	NAT_HGDP	20	23	sim_012	NAT	1030	999	0.9699029126213592
NAT	NAT_HGDP	20	23	sim_012	EUR	5945	5547	0.9330529857022708
NAT	NAT_HGDP	20	23	sim_012	AFR	2506	2462	0.9824421388667198
NAT	NAT_HGDP	20	24	sim_012	NAT	1579	1450	0.9183027232425586
NAT	NAT_HGDP	20	24	sim_012	EUR	6622	6464	0.9761401389308366
NAT	NAT_HGDP	20	24	sim_012	AFR	1280	1211	0.94609375
NAT	NAT_HGDP	20	25	sim_013	NAT	1895	1832	0.9667546174142481
NAT	NAT_HGDP	20	25	sim_013	EUR	4536	4471	0.9856701940035273
NAT	NAT_HGDP	20	25	sim_013	AFR	3050	2909	0.9537704918032787
NAT	NAT_HGDP	20	26	sim_013	EUR	6834	6757	0.988732806555458
NAT	NAT_HGDP	20	26	sim_013	AFR	2647	2603	0.9833774083868531
NAT	NAT_HGDP	20	27	sim_014	NAT	118	0	0
NAT	NAT_HGDP	20	27	sim_014	EUR	9363	9363	1
NAT	NAT_HGDP	20	28	sim_014	NAT	342	340	0.9941520467836257
NAT	NAT_HGDP	20	28	sim_014	EUR	7580	7287	0.9613456464379947
NAT	NAT_HGDP	20	28	sim_014	AFR	1559	1468	0.9416292495189224
NAT	NAT_HGDP	20	29	sim_015	EUR	5017	4864	0.969503687462627
NAT	NAT_HGDP	20	29	sim_015	AFR	4464	4144	0.9283154121863799
NAT	NAT_HGDP	20	30	sim_015	NAT	718	718	1
NAT	NAT_HGDP	20	30	sim_015	EUR	5652	5601	0.9909766454352441
NAT	NAT_HGDP	20	30	sim_015	AFR	3111	3018	0.970106075216972
NAT	NAT_HGDP	20	31	sim_016	NAT	165	0	0
NAT	NAT_HGDP	20	31	sim_016	EUR	5481	5458	0.9958036854588579
NAT	NAT_HGDP	20	31	sim_016	AFR	3835	3744	0.976271186440678
NAT	NAT_HGDP	20	32	sim_016	NAT	111	0	0
NAT	NAT_HGDP	20	32	sim_016	EUR	8136	7762	0.954031465093412
NAT	NAT_HGDP	20	32	sim_016	AFR	1234	1218	0.9870340356564019
NAT	NAT_HGDP	20	33	sim_017	NAT	419	354	0.8448687350835322
NAT	NAT_HGDP	20	33	sim_017	EUR	4708	4630	0.9834324553950722
NAT	NAT_HGDP	20	33	sim_017	AFR	4354	4298	0.9871382636655949
NAT	NAT_HGDP	20	34	sim_017	NAT	1617	1545	0.9554730983302412
NAT	NAT_HGDP	20	34	sim_017	EUR	7225	6854	0.9486505190311418
NAT	NAT_HGDP	20	34	sim_017	AFR	639	639	1
NAT	NAT_HGDP	20	35	sim_018	NAT	239	225	0.9414225941422594
NAT	NAT_HGDP	20	35	sim_018	EUR	6909	6792	0.9830655666521928
NAT	NAT_HGDP	20	35	sim_018	AFR	2333	2313	0.9914273467638234
NAT	NAT_HGDP	20	36	sim_018	NAT	260	0	0
NAT	NAT_HGDP	20	36	sim_018	EUR	3751	3597	0.9589442815249267
NAT	NAT_HGDP	20	36	sim_018	AFR	5470	5401	0.9873857404021937
NAT	NAT_HGDP	20	37	sim_019	NAT	751	653	0.8695073235685752
NAT	NAT_HGDP	20	37	sim_019	EUR	5603	5551	0.9907192575406032
NAT	NAT_HGDP	20	37	sim_019	AFR	3127	3095	0.9897665494083786
NAT	NAT_HGDP	20	38	sim_019	NAT	1697	1014	0.5975250441956393
NAT	NAT_HGDP	20	38	sim_019	EUR	2571	2571	1
NAT	NAT_HGDP	20	38	sim_019	AFR	5213	5208	0.9990408593899865
NAT	NAT_HGDP	20	39	sim_020	NAT	3298	3298	1
NAT	NAT_HGDP	20	39	sim_020	EUR	4194	4189	0.9988078206962328
NAT	NAT_HGDP	20	39	sim_020	AFR	1989	1846	0.9281045751633987
NAT	NAT_HGDP	20	40	sim_020	NAT	2617	2533	0.9679021780664884
NAT	NAT_HGDP	20	40	sim_020	EUR	4685	4675	0.9978655282817502
NAT	NAT_HGDP	20	40	sim_020	AFR	2179	2174	0.9977053694355209
NAT	NAT_HGDP	20	41	sim_021	NAT	3031	3031	1
